Designator,Footprint,Quantity,Value,LCSC Part #
+3V3,TestPoint_Pad_D1.0mm,1,+3V3,
AE1,Texas_SWRA117D_2.4GHz_Left,1,Antenna,
BTN1,SW_Push_1P1T_XKB_TS-1187A,1,BTN,
"C10, C11, C15, C18, C19, C22, C32, C35",0402,8,0.1uF,
"C13, C26, C39",0402,3,1uF,
"C16, C17, C2, C20, C25, C3, C36, C6, C7, C8",0402,10,10uF,
"C31, DNP1",0402,2,15pF,
"C33, C37, C38, C4",0402,4,12pF,
C40,0402,1,10nF,
"D1, D2, D3",0603,3,LED,
D4,D_SMA,1,SS14,
FLASH1,SW_Push_1P1T_XKB_TS-1187A,1,Flash,
GND1,TestPoint_Pad_D1.0mm,1,GND,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,
J2,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J3, J5",PinHeader_1x18_P2.54mm_Vertical,2,Conn_01x18_Pin,
L3,0402,1,2nH,
L6,0402,1,4.7nH,
Q1,SOT-23,1,AO3401A,
R1,0402,1,2K,
"R12, R19",0402,2,200K,
"R14, R17",0402,2,5.1K,
R15,0402,1,1K,
"R16, R24, R25",0402,3,470R,
"R18, R2",0402,2,33R,
R20,0402,1,100K,
"R21, R22, R4",0402,3,10K,
"R23, R26, R27, R28, R29, R30",0402,6,0R,
RESET1,SW_Push_1P1T_XKB_TS-1187A,1,Reset,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U3,SOT-23-5,1,MCP73831-2-OT,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,
Y2,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,40MHz(10ppm),
